2024/08/05 17:23:06 [emerg] 1#1: host not found in upstream "fpm:9000" in /etc/nginx/conf.d/default.conf:3
2024/08/05 18:04:27 [notice] 1#1: using the "epoll" event method
2024/08/05 18:04:27 [notice] 1#1: nginx/1.23.2
2024/08/05 18:04:27 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2024/08/05 18:04:27 [notice] 1#1: OS: Linux 6.9.3-76060903-generic
2024/08/05 18:04:27 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/08/05 18:04:27 [notice] 1#1: start worker processes
2024/08/05 18:04:27 [notice] 1#1: start worker process 11
2024/08/05 18:04:27 [notice] 1#1: start worker process 12
2024/08/05 18:04:27 [notice] 1#1: start worker process 13
2024/08/05 18:04:27 [notice] 1#1: start worker process 14
2024/08/05 18:04:27 [notice] 1#1: start worker process 15
2024/08/05 18:04:27 [notice] 1#1: start worker process 16
2024/08/05 18:04:27 [notice] 1#1: start worker process 17
2024/08/05 18:04:27 [notice] 1#1: start worker process 18
2024/08/05 18:04:27 [notice] 1#1: start worker process 19
2024/08/05 18:04:27 [notice] 1#1: start worker process 20
2024/08/05 18:04:27 [notice] 1#1: start worker process 21
2024/08/05 18:04:27 [notice] 1#1: start worker process 22
